,state.abb,state.name,deaths
1,AL,Alabama,2277
2,AK,Alaska,42
3,AZ,Arizona,5251
4,AR,Arkansas,928
5,CA,California,13983
6,CO,Colorado,1977
7,CT,Connecticut,4474
8,DE,Delaware,609
9,FL,Florida,12110
10,GA,Georgia,6128
11,HI,Hawaii,91
12,ID,Idaho,420
13,IL,Illinois,8433
14,IN,Indiana,3397
15,IA,Iowa,1204
16,KS,Kansas,499
17,KY,Kentucky,1013
18,LA,Louisiana,5140
19,ME,Maine,134
20,MD,Maryland,3816
21,MA,Massachusetts,9146
22,MI,Michigan,6886
23,MN,Minnesota,1921
24,MS,Mississippi,2623
25,MO,Missouri,1702
26,MT,Montana,122
27,NE,Nebraska,421
28,NV,Nevada,1412
29,NH,New Hampshire,433
30,NJ,New Jersey,16008
31,NM,New Mexico,813
32,NY,New York,33019
33,NC,North Carolina,2958
34,ND,North Dakota,157
35,OH,Ohio,4324
36,OK,Oklahoma,863
37,OR,Oregon,494
38,PA,Pennsylvania,7794
39,RI,Rhode Island,1062
40,SC,South Carolina,2942
41,SD,South Dakota,173
42,TN,Tennessee,1931
43,TX,Texas,13923
44,UT,Utah,427
45,VT,Vermont,58
46,VA,Virginia,2697
47,WA,Washington,1978
48,WV,West Virginia,255
49,WI,Wisconsin,1183
50,WY,Wyoming,42
