year,Chandler,Ross
1978,63,919
1979,70,1001
1980,66,1040
1981,70,1241
1982,90,1464
1983,88,1344
1984,118,1745
1985,120,1885
1986,142,1773
1987,198,1665
1988,224,1768
1989,301,1787
1990,396,1618
1991,467,1446
1992,553,1277
1993,661,942
1994,704,838
1995,1856,1047
1996,2185,1041
1997,1796,795
1998,1952,789
1999,2395,667
2000,2131,561
2001,1792,503
2002,1417,425
2003,1270,377
2004,1130,350
2005,870,313
2006,753,283
2007,674,261
2008,607,258
2009,579,227
2010,524,218
2011,615,214
2012,595,212
2013,674,193
2014,730,184
2015,730,158
