"fips","abbr","full","pop_2015"
"01","AL","alabama",4858979
"02","AK","alaska",738432
"04","AZ","arizona",6828065
"05","AR","arkansas",2978204
"06","CA","california",39144818
"08","CO","colorado",5456574
"09","CT","connecticut",3590886
"10","DE","delaware",945934
"11","DC","district of columbia",672228
"12","FL","florida",20271272
"13","GA","georgia",10214860
"15","HI","hawaii",1431603
"16","ID","idaho",1654930
"17","IL","illinois",12859995
"18","IN","indiana",6619680
"19","IA","iowa",3123899
"20","KS","kansas",2911641
"21","KY","kentucky",4425092
"22","LA","louisiana",4670724
"23","ME","maine",1329328
"24","MD","maryland",6006401
"25","MA","massachusetts",6794422
"26","MI","michigan",9922576
"27","MN","minnesota",5489594
"28","MS","mississippi",2992333
"29","MO","missouri",6083672
"30","MT","montana",1032949
"31","NE","nebraska",1896190
"32","NV","nevada",2890845
"33","NH","new hampshire",1330608
"34","NJ","new jersey",8958013
"35","NM","new mexico",2085109
"36","NY","new york",19795791
"37","NC","north carolina",10042802
"38","ND","north dakota",756927
"39","OH","ohio",11613423
"40","OK","oklahoma",3911338
"41","OR","oregon",4028977
"42","PA","pennsylvania",12802503
"44","RI","rhode island",1056298
"45","SC","south carolina",4896146
"46","SD","south dakota",858469
"47","TN","tennessee",6600299
"48","TX","texas",27469114
"49","UT","utah",2995919
"50","VT","vermont",626042
"51","VA","virginia",8382993
"53","WA","washington",7170351
"54","WV","west virginia",1844128
"55","WI","wisconsin",5771337
"56","WY","wyoming",586107
